% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Normal mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:36:48 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4801519744e+00, 1.0949666475e-03, -2.8290903646e-05, -2.5731050134e-03
-1.4799567552e+00, 1.0899535133e-03, 0.0000000000e+00, -2.5731050134e-03
-1.4797615360e+00, 1.0931086327e-03, -3.0289145911e-05, -2.5731050134e-03
-1.4795663168e+00, 1.0902339684e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4793710976e+00, 1.0914259024e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4791758784e+00, 1.0905144235e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4789806592e+00, 1.0913557886e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4787854400e+00, 1.0908299354e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4785902208e+00, 1.0888316931e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4783950016e+00, 1.0911805042e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4781997824e+00, 1.0920919831e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4780045632e+00, 1.0897782289e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4778093440e+00, 1.0933540309e-03, -3.3444265277e-05, -2.5731050134e-03
-1.4776141248e+00, 1.0902690253e-03, -3.3444265277e-05, -2.5923862984e-03
-1.4774189056e+00, 1.0932138034e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4772236864e+00, 1.0906546510e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4770284672e+00, 1.0943005667e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4768332480e+00, 1.0948965337e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4766380288e+00, 1.0958430695e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4764428096e+00, 1.0930034621e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4762475904e+00, 1.0912155611e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4760523712e+00, 1.0910052198e-03, -3.3444265277e-05, -2.6065492787e-03
