% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4750762752e+00, 1.4252340256e-02, -1.3952638973e-05, 5.5137814330e-03
-1.4748810560e+00, 1.4255986172e-02, 3.3654606568e-06, 5.5137814330e-03
-1.4746858368e+00, 1.4257353390e-02, 1.5179629838e-04, 5.5137814330e-03
-1.4744906176e+00, 1.4260788964e-02, 2.3330354866e-04, 5.5137814330e-03
-1.4742953984e+00, 1.4259071177e-02, 1.4229588340e-04, 5.5137814330e-03
-1.4741001792e+00, 1.4252270142e-02, -2.9798349566e-06, 5.5137814330e-03
-1.4739049600e+00, 1.4254022986e-02, -1.0657292080e-05, 5.5137814330e-03
-1.4737097408e+00, 1.4256897651e-02, 1.2995586099e-04, 5.5137814330e-03
-1.4735145216e+00, 1.4258440153e-02, 2.3014842929e-04, 5.5137814330e-03
-1.4733193024e+00, 1.4262226297e-02, 1.6241853357e-04, 5.5137814330e-03
-1.4731240832e+00, 1.4253321849e-02, 9.2550168063e-06, 5.5137814330e-03
-1.4729288640e+00, 1.4260122884e-02, -2.0823787814e-05, 5.5137814330e-03
-1.4727336448e+00, 1.4260017713e-02, 1.0559132811e-04, 5.5137814330e-03
-1.4725384256e+00, 1.4261910785e-02, 2.2520540895e-04, 5.5137814330e-03
-1.4723432064e+00, 1.4266222781e-02, 1.8096362407e-04, 5.5137814330e-03
-1.4721479872e+00, 1.4259421746e-02, 2.7519652246e-05, 5.5137814330e-03
-1.4719527680e+00, 1.4258334983e-02, -2.6783457727e-05, 5.5137814330e-03
-1.4717575488e+00, 1.4257949357e-02, 8.5012938467e-05, 5.5137814330e-03
-1.4715623296e+00, 1.4258299926e-02, 2.1773829312e-04, 5.5137814330e-03
-1.4713671104e+00, 1.4260824021e-02, 1.9922825951e-04, 5.5137814330e-03
-1.4711718912e+00, 1.4258755665e-02, 5.2445095235e-05, 5.5137814330e-03
